,Loss,ValLoss,ReconstructRate,ValReconstructRate
0,0.20932325720787048,0.7104831337928772,0.9484521150588989,0.9557734131813049
1,0.15079645812511444,0.12535260617733002,0.9562622904777527,0.9564583897590637
2,0.13497385382652283,0.11723820120096207,0.9564294219017029,0.9566124677658081
3,0.12611860036849976,0.1338190734386444,0.956406831741333,0.9532856941223145
4,0.12012061476707458,0.10923410952091217,0.9563730359077454,0.9563320875167847
5,0.11558595299720764,0.10599367320537567,0.9564721584320068,0.9563626050949097
6,0.11212106794118881,0.10504079610109329,0.9565445780754089,0.9567693471908569
7,0.10945242643356323,0.10270459204912186,0.9565567374229431,0.9566161632537842
8,0.10721341520547867,0.10086887329816818,0.9566053152084351,0.956298291683197
9,0.10719751566648483,0.10262642800807953,0.9561132788658142,0.9556707143783569
10,0.10452204942703247,0.09786578267812729,0.956272304058075,0.956458568572998
11,0.10315944999456406,0.09636370837688446,0.9562642574310303,0.9563649296760559
12,0.10191565752029419,0.09653209894895554,0.9563944339752197,0.9564341306686401
13,0.1010311171412468,0.10020040720701218,0.9563698172569275,0.9565539956092834
14,0.10036024451255798,0.09615849703550339,0.9562858939170837,0.9559036493301392
15,0.0994688868522644,0.09446974843740463,0.9563145041465759,0.9563722610473633
16,0.09878293424844742,0.09483978897333145,0.956315815448761,0.9565573930740356
17,0.09815056622028351,0.09401636570692062,0.9563458561897278,0.9565427899360657
18,0.09763149917125702,0.09372053295373917,0.9563306570053101,0.9563304781913757
19,0.09714077413082123,0.09301421791315079,0.9563952684402466,0.9565570950508118
20,0.09667383879423141,0.09362976998090744,0.9563725590705872,0.9558917880058289
21,0.09630445390939713,0.09449000656604767,0.9563742876052856,0.9564144015312195
22,0.09589418023824692,0.0922764390707016,0.956427812576294,0.9565452933311462
23,0.09552828222513199,0.09215734899044037,0.9564134478569031,0.9565358757972717
24,0.09521175920963287,0.09197311848402023,0.9564287662506104,0.9563844203948975
25,0.09491311013698578,0.09197923541069031,0.9564744830131531,0.9563708901405334
26,0.09468789398670197,0.0917634442448616,0.9564559459686279,0.9566006064414978
27,0.09440824389457703,0.09191854298114777,0.956429660320282,0.9566165208816528
28,0.09416404366493225,0.09159114211797714,0.9564322829246521,0.9565644860267639
29,0.09395643323659897,0.09093205630779266,0.9564736485481262,0.9564271569252014
30,0.09372377395629883,0.09103883057832718,0.9564880728721619,0.9565700888633728
31,0.09354750066995621,0.09064770489931107,0.9564530849456787,0.9563747644424438
32,0.09330855309963226,0.09062882512807846,0.9565187096595764,0.9565938711166382
33,0.09315317124128342,0.09090058505535126,0.95647132396698,0.9565370678901672
34,0.09296887367963791,0.09044189006090164,0.9565762281417847,0.9566009640693665
35,0.09282339364290237,0.09002294391393661,0.9565425515174866,0.9566502571105957
36,0.0926426500082016,0.08992265164852142,0.9565247297286987,0.9565819501876831
37,0.09251127392053604,0.09097830951213837,0.9565743207931519,0.9560145139694214
